Date,CPI for Energy Commodities
1/1/1957,21.3
2/1/1957,21.7
3/1/1957,21.7
4/1/1957,21.8
5/1/1957,21.8
6/1/1957,21.8
7/1/1957,21.7
8/1/1957,21.3
9/1/1957,21.5
10/1/1957,21.4
11/1/1957,21.6
12/1/1957,21.6
1/1/1958,21.5
2/1/1958,21.2
3/1/1958,21.2
4/1/1958,21.1
5/1/1958,21.3
6/1/1958,21.2
7/1/1958,21.4
8/1/1958,21.5
9/1/1958,21.4
10/1/1958,21.3
11/1/1958,21
12/1/1958,20.9
1/1/1959,21
2/1/1959,21.3
3/1/1959,21.5
4/1/1959,21.6
5/1/1959,21.6
6/1/1959,21.6
7/1/1959,21.3
8/1/1959,21.5
9/1/1959,21.4
10/1/1959,21.8
11/1/1959,21.8
12/1/1959,21.9
1/1/1960,21.8
2/1/1960,21.7
3/1/1960,21.7
4/1/1960,21.8
5/1/1960,21.7
6/1/1960,21.9
7/1/1960,21.9
8/1/1960,22
9/1/1960,22
10/1/1960,21.9
11/1/1960,22.2
12/1/1960,22.1
1/1/1961,22.2
2/1/1961,22.1
3/1/1961,22
4/1/1961,21.5
5/1/1961,21.7
6/1/1961,21.8
7/1/1961,21.9
8/1/1961,21.9
9/1/1961,22
10/1/1961,21.8
11/1/1961,21.9
12/1/1961,21.7
1/1/1962,21.8
2/1/1962,22
3/1/1962,21.8
4/1/1962,22.2
5/1/1962,22.1
6/1/1962,21.9
7/1/1962,21.5
8/1/1962,21.6
9/1/1962,22.3
10/1/1962,22.2
11/1/1962,22.2
12/1/1962,22.4
1/1/1963,22.3
2/1/1963,22.2
3/1/1963,22.2
4/1/1963,22
5/1/1963,22.1
6/1/1963,21.9
7/1/1963,22.1
8/1/1963,22.2
9/1/1963,22
10/1/1963,22.1
11/1/1963,22
12/1/1963,22.1
1/1/1964,22.3
2/1/1964,21.6
3/1/1964,22.1
4/1/1964,21.9
5/1/1964,21.8
6/1/1964,21.9
7/1/1964,21.9
8/1/1964,21.9
9/1/1964,21.8
10/1/1964,21.9
11/1/1964,21.8
12/1/1964,22
1/1/1965,22.3
2/1/1965,22.2
3/1/1965,22.1
4/1/1965,22.6
5/1/1965,22.8
6/1/1965,22.8
7/1/1965,22.8
8/1/1965,22.6
9/1/1965,22.8
10/1/1965,22.7
11/1/1965,22.8
12/1/1965,22.8
1/1/1966,22.8
2/1/1966,22.9
3/1/1966,22.9
4/1/1966,22.9
5/1/1966,23
6/1/1966,23.1
7/1/1966,23.2
8/1/1966,23.1
9/1/1966,23.3
10/1/1966,23.4
11/1/1966,23.5
12/1/1966,23.5
1/1/1967,23.6
2/1/1967,23.8
3/1/1967,23.7
4/1/1967,24.1
5/1/1967,24
6/1/1967,23.9
7/1/1967,23.9
8/1/1967,24
9/1/1967,24.2
10/1/1967,24
11/1/1967,24.2
12/1/1967,23.9
1/1/1968,24.3
2/1/1968,24.3
3/1/1968,24.3
4/1/1968,24.2
5/1/1968,24.2
6/1/1968,24.4
7/1/1968,24.4
8/1/1968,24.6
9/1/1968,24.5
10/1/1968,24.6
11/1/1968,24.7
12/1/1968,24.4
1/1/1969,24.7
2/1/1969,24.8
3/1/1969,25.1
4/1/1969,25.4
5/1/1969,25.2
6/1/1969,25.5
7/1/1969,25.3
8/1/1969,25.3
9/1/1969,25.3
10/1/1969,25.3
11/1/1969,25.2
12/1/1969,25.2
1/1/1970,25.2
2/1/1970,25.3
3/1/1970,25
4/1/1970,25.8
5/1/1970,25.6
6/1/1970,25.5
7/1/1970,25.7
8/1/1970,25.4
9/1/1970,25.6
10/1/1970,25.9
11/1/1970,26
12/1/1970,26.2
1/1/1971,26.2
2/1/1971,26
3/1/1971,25.9
4/1/1971,25.7
5/1/1971,25.7
6/1/1971,25.9
7/1/1971,25.7
8/1/1971,26.4
9/1/1971,26.5
10/1/1971,26.6
11/1/1971,26.4
12/1/1971,26.4
1/1/1972,26.2
2/1/1972,26.1
3/1/1972,26.1
4/1/1972,26
5/1/1972,26.1
6/1/1972,26.1
7/1/1972,26.2
8/1/1972,26.5
9/1/1972,26.9
10/1/1972,26.9
11/1/1972,27.1
12/1/1972,27.1
1/1/1973,27.1
2/1/1973,27.5
3/1/1973,27.7
4/1/1973,28.1
5/1/1973,28.3
6/1/1973,29
7/1/1973,29
8/1/1973,29
9/1/1973,28.9
10/1/1973,30.1
11/1/1973,31.8
12/1/1973,33.5
1/1/1974,35.8
2/1/1974,37.5
3/1/1974,39.5
4/1/1974,40.3
5/1/1974,41.1
6/1/1974,41.5
7/1/1974,41.7
8/1/1974,41.6
9/1/1974,41.6
10/1/1974,41.2
11/1/1974,41.2
12/1/1974,41.2
1/1/1975,41.4
2/1/1975,41.6
3/1/1975,41.8
4/1/1975,42.1
5/1/1975,42.4
6/1/1975,42.9
7/1/1975,44
8/1/1975,44.2
9/1/1975,44.6
10/1/1975,45
11/1/1975,45.1
12/1/1975,45.2
1/1/1976,45.3
2/1/1976,45
3/1/1976,44.7
4/1/1976,44.4
5/1/1976,44.5
6/1/1976,45
7/1/1976,45.1
8/1/1976,45.3
9/1/1976,45.6
10/1/1976,46.1
11/1/1976,46.5
12/1/1976,46.8
1/1/1977,47.3
2/1/1977,47.9
3/1/1977,48.5
4/1/1977,48.6
5/1/1977,48.9
6/1/1977,48.7
7/1/1977,48.5
8/1/1977,48.6
9/1/1977,48.8
10/1/1977,49.3
11/1/1977,49.6
12/1/1977,49.9
1/1/1978,49.9
2/1/1978,49
3/1/1978,49.1
4/1/1978,49.2
5/1/1978,49.7
6/1/1978,49.9
7/1/1978,50.5
8/1/1978,51.1
9/1/1978,51.8
10/1/1978,52.8
11/1/1978,53.7
12/1/1978,55.2
1/1/1979,54.6
2/1/1979,54.7
3/1/1979,57
4/1/1979,60.1
5/1/1979,63.5
6/1/1979,67.5
7/1/1979,71.2
8/1/1979,74.5
9/1/1979,77.7
10/1/1979,79.6
11/1/1979,81.1
12/1/1979,84.1
1/1/1980,87.1
2/1/1980,91.1
3/1/1980,94.8
4/1/1980,95.6
5/1/1980,96.1
6/1/1980,95.7
7/1/1980,95.8
8/1/1980,95.8
9/1/1980,96
10/1/1980,96.6
11/1/1980,97.7
12/1/1980,100.1
1/1/1981,101.4
2/1/1981,106.1
3/1/1981,109.4
4/1/1981,108.8
5/1/1981,108.7
6/1/1981,107.3
7/1/1981,106.8
8/1/1981,106.6
9/1/1981,107.4
10/1/1981,108.5
11/1/1981,109.4
12/1/1981,110.8
1/1/1982,107.8
2/1/1982,104
3/1/1982,100.9
4/1/1982,96.5
5/1/1982,97.9
6/1/1982,102
7/1/1982,103.7
8/1/1982,103.5
9/1/1982,103.6
10/1/1982,104.5
11/1/1982,105.3
12/1/1982,105.2
1/1/1983,99.6
2/1/1983,96.3
3/1/1983,94.4
4/1/1983,97.4
5/1/1983,99.8
6/1/1983,100.2
7/1/1983,100.5
8/1/1983,101.3
9/1/1983,100.6
10/1/1983,100
11/1/1983,98.8
12/1/1983,97.9
1/1/1984,98.6
2/1/1984,100.2
3/1/1984,100.2
4/1/1984,100.1
5/1/1984,99.7
6/1/1984,98.7
7/1/1984,97.1
8/1/1984,96.1
9/1/1984,96.4
10/1/1984,97.4
11/1/1984,96.8
12/1/1984,95.7
1/1/1985,96
2/1/1985,96
3/1/1985,97.4
4/1/1985,99
5/1/1985,98.7
6/1/1985,98.9
7/1/1985,99
8/1/1985,97.8
9/1/1985,97.6
10/1/1985,97.8
11/1/1985,98.8
12/1/1985,99.8
1/1/1986,100
2/1/1986,94.7
3/1/1986,83.6
4/1/1986,75.2
5/1/1986,75.6
6/1/1986,77.4
7/1/1986,72.7
8/1/1986,69.3
9/1/1986,70.9
10/1/1986,69.5
11/1/1986,68.8
12/1/1986,69.4
1/1/1987,74.3
2/1/1987,78.2
3/1/1987,78.6
4/1/1987,79.1
5/1/1987,77.8
6/1/1987,79.5
7/1/1987,81.2
8/1/1987,83
9/1/1987,82.6
10/1/1987,82.6
11/1/1987,82.7
12/1/1987,82.1
1/1/1988,81.1
2/1/1988,80.8
3/1/1988,80.1
4/1/1988,80.6
5/1/1988,80.4
6/1/1988,80.3
7/1/1988,81.1
8/1/1988,82.3
9/1/1988,81.2
10/1/1988,80.5
11/1/1988,80.3
12/1/1988,80
1/1/1989,80.9
2/1/1989,82.4
3/1/1989,84.1
4/1/1989,92.5
5/1/1989,94.2
6/1/1989,93
7/1/1989,92.1
8/1/1989,88.4
9/1/1989,86.5
10/1/1989,87.5
11/1/1989,86.2
12/1/1989,86.5
1/1/1990,95.7
2/1/1990,93.5
3/1/1990,92.4
4/1/1990,92.6
5/1/1990,91.5
6/1/1990,92.1
7/1/1990,92.3
8/1/1990,100.7
9/1/1990,109.6
10/1/1990,117.9
11/1/1990,117.7
12/1/1990,117.5
1/1/1991,110.9
2/1/1991,102.9
3/1/1991,97.9
4/1/1991,97.3
5/1/1991,98.6
6/1/1991,97.5
7/1/1991,95.8
8/1/1991,97.1
9/1/1991,97.3
10/1/1991,96.9
11/1/1991,98.3
12/1/1991,99.1
1/1/1992,96.4
2/1/1992,96
3/1/1992,96.2
4/1/1992,96.1
5/1/1992,96.9
6/1/1992,99.1
7/1/1992,99.7
8/1/1992,99.2
9/1/1992,98.9
10/1/1992,100.1
11/1/1992,100.4
12/1/1992,100.7
1/1/1993,100.4
2/1/1993,100.5
3/1/1993,99.9
4/1/1993,99.4
5/1/1993,97.5
6/1/1993,96.4
7/1/1993,95.3
8/1/1993,95
9/1/1993,93.9
10/1/1993,98.3
11/1/1993,97
12/1/1993,95.5
1/1/1994,94.1
2/1/1994,96.3
3/1/1994,95.9
4/1/1994,95.5
5/1/1994,94
6/1/1994,94.8
7/1/1994,97.3
8/1/1994,101.3
9/1/1994,100.7
10/1/1994,100.1
11/1/1994,100.6
12/1/1994,100.5
1/1/1995,99.6
2/1/1995,99.6
3/1/1995,99.1
4/1/1995,99.4
5/1/1995,100.4
6/1/1995,102
7/1/1995,100.1
8/1/1995,98.8
9/1/1995,97.4
10/1/1995,97
11/1/1995,95.4
12/1/1995,97
1/1/1996,101.2
2/1/1996,101
3/1/1996,103.5
4/1/1996,108.2
5/1/1996,109.1
6/1/1996,107
7/1/1996,105.3
8/1/1996,104
9/1/1996,104.4
10/1/1996,105.8
11/1/1996,107.9
12/1/1996,110.9
1/1/1997,111.7
2/1/1997,110.9
3/1/1997,108.3
4/1/1997,105.2
5/1/1997,101.9
6/1/1997,103.2
7/1/1997,101.5
8/1/1997,105.6
9/1/1997,107.5
10/1/1997,106.2
11/1/1997,104.3
12/1/1997,103.3
1/1/1998,99.4
2/1/1998,96.2
3/1/1998,92.3
4/1/1998,90.2
5/1/1998,91.8
6/1/1998,93
7/1/1998,93
8/1/1998,90.9
9/1/1998,90.2
10/1/1998,90.8
11/1/1998,89.6
12/1/1998,87.6
1/1/1999,87
2/1/1999,85.4
3/1/1999,87.9
4/1/1999,98.4
5/1/1999,97.3
6/1/1999,96.6
7/1/1999,100.6
8/1/1999,105.8
9/1/1999,109.4
10/1/1999,109.6
11/1/1999,108.5
12/1/1999,114
1/1/2000,116.2
2/1/2000,122.4
3/1/2000,133.4
4/1/2000,126.1
5/1/2000,124.1
6/1/2000,134.9
7/1/2000,133.8
8/1/2000,127.1
9/1/2000,135.5
10/1/2000,134.1
11/1/2000,133.5
12/1/2000,132.4
1/1/2001,132.7
2/1/2001,130.7
3/1/2001,127
4/1/2001,129.2
5/1/2001,140.2
6/1/2001,137.4
7/1/2001,124.2
8/1/2001,121.7
9/1/2001,131.5
10/1/2001,118.3
11/1/2001,106.1
12/1/2001,101.1
1/1/2002,102.2
2/1/2002,101.2
3/1/2002,109
4/1/2002,116.8
5/1/2002,117.5
6/1/2002,117.8
7/1/2002,119.5
8/1/2002,120.7
9/1/2002,121.5
10/1/2002,126.8
11/1/2002,126.1
12/1/2002,125.8
1/1/2003,138.1
2/1/2003,150
3/1/2003,149.6
4/1/2003,135.5
5/1/2003,121.4
6/1/2003,122
7/1/2003,126.9
8/1/2003,137.9
9/1/2003,147
10/1/2003,137.9
11/1/2003,137.3
12/1/2003,140.6
1/1/2004,149.6
2/1/2004,152.1
3/1/2004,152.2
4/1/2004,148.3
5/1/2004,155.8
6/1/2004,161.4
7/1/2004,159.6
8/1/2004,159.4
9/1/2004,162.9
10/1/2004,174.6
11/1/2004,181.3
12/1/2004,178.2
1/1/2005,168.9
2/1/2005,176.9
3/1/2005,179.9
4/1/2005,183.6
5/1/2005,175.5
6/1/2005,176.6
7/1/2005,192.7
8/1/2005,211.5
9/1/2005,253.6
10/1/2005,240
11/1/2005,207.4
12/1/2005,203.9
1/1/2006,216.2
2/1/2006,213.5
3/1/2006,211.6
4/1/2006,226.9
5/1/2006,230.4
6/1/2006,231.2
7/1/2006,247.5
8/1/2006,254.6
9/1/2006,224.5
10/1/2006,200.8
11/1/2006,198.8
12/1/2006,214.6
1/1/2007,208.725
2/1/2007,211.823
3/1/2007,225.756
4/1/2007,232.178
5/1/2007,242.691
6/1/2007,243.412
7/1/2007,244.662
8/1/2007,239.257
9/1/2007,247.317
10/1/2007,249.454
11/1/2007,272.138
12/1/2007,275.551
1/1/2008,277.967
2/1/2008,281.782
3/1/2008,286.04
4/1/2008,284.201
5/1/2008,298.056
6/1/2008,330.121
7/1/2008,341.997
8/1/2008,326.034
9/1/2008,326.588
10/1/2008,284.182
11/1/2008,200.491
12/1/2008,163.406
1/1/2009,168.39
2/1/2009,179.959
3/1/2009,171.874
4/1/2009,173.142
5/1/2009,180.862
6/1/2009,215.374
