Date,Heating Oil Spot Price
06/02/1986,0.402
06/03/1986,0.393
06/04/1986,0.378
06/05/1986,0.39
06/06/1986,0.385
06/09/1986,0.373
06/10/1986,0.365
06/11/1986,0.389
06/12/1986,0.394
06/13/1986,0.398
06/16/1986,0.379
06/17/1986,0.374
06/18/1986,0.376
06/19/1986,0.382
06/20/1986,0.365
06/23/1986,0.369
06/24/1986,0.369
06/25/1986,0.375
06/26/1986,0.376
06/27/1986,0.379
06/30/1986,0.374
07/01/1986,0.369
07/02/1986,0.359
07/03/1986,0.349
07/07/1986,0.335
07/08/1986,0.336
07/09/1986,0.325
07/10/1986,0.33
07/11/1986,0.324
07/14/1986,0.315
07/15/1986,0.328
07/16/1986,0.348
07/17/1986,0.339
07/18/1986,0.345
07/21/1986,0.345
07/22/1986,0.323
07/23/1986,0.323
07/24/1986,0.327
07/25/1986,0.317
07/28/1986,0.318
07/29/1986,0.328
07/30/1986,0.34
07/31/1986,0.321
08/01/1986,0.324
08/04/1986,0.374
08/05/1986,0.408
08/06/1986,0.411
08/07/1986,0.411
08/08/1986,0.4
08/11/1986,0.4
08/12/1986,0.414
08/13/1986,0.411
08/14/1986,0.415
08/15/1986,0.42
08/18/1986,0.421
08/19/1986,0.406
08/20/1986,0.419
08/21/1986,0.42
08/22/1986,0.42
08/25/1986,0.418
08/26/1986,0.411
08/27/1986,0.413
08/28/1986,0.419
08/29/1986,0.426
09/02/1986,0.441
09/03/1986,0.431
09/04/1986,0.438
09/05/1986,0.441
09/08/1986,0.423
09/09/1986,0.399
09/10/1986,0.39
09/11/1986,0.396
09/12/1986,0.395
09/15/1986,0.383
09/16/1986,0.375
09/17/1986,0.385
09/18/1986,0.391
09/19/1986,0.394
09/22/1986,0.388
09/23/1986,0.394
09/24/1986,0.394
09/25/1986,0.387
09/26/1986,0.392
09/29/1986,0.403
09/30/1986,0.403
10/01/1986,0.414
10/02/1986,0.421
10/03/1986,0.402
10/06/1986,0.4
10/07/1986,0.409
10/08/1986,0.405
10/09/1986,0.402
10/10/1986,0.391
10/14/1986,0.38
10/15/1986,0.39
10/16/1986,0.385
10/17/1986,0.396
10/20/1986,0.407
10/21/1986,0.409
10/22/1986,0.399
10/23/1986,0.387
10/24/1986,0.386
10/27/1986,0.374
10/28/1986,0.368
10/29/1986,0.359
10/30/1986,0.384
10/31/1986,0.398
11/03/1986,0.394
11/04/1986,0.409
11/05/1986,0.406
11/06/1986,0.414
11/07/1986,0.419
11/10/1986,0.424
11/11/1986,0.428
11/12/1986,0.424
11/13/1986,0.437
11/14/1986,0.439
11/17/1986,0.432
11/18/1986,0.431
11/19/1986,0.433
11/20/1986,0.425
11/21/1986,0.429
11/24/1986,0.416
11/25/1986,0.419
11/26/1986,0.418
11/28/1986,0.418
12/01/1986,0.434
12/02/1986,0.435
12/03/1986,0.431
12/04/1986,0.433
12/05/1986,0.436
12/08/1986,0.429
12/09/1986,0.422
12/10/1986,0.429
12/11/1986,0.442
12/12/1986,0.454
12/15/1986,0.455
12/16/1986,0.444
12/17/1986,0.442
12/18/1986,0.446
12/19/1986,0.45
12/22/1986,0.464
12/23/1986,0.46
12/24/1986,0.467
12/29/1986,0.472
12/30/1986,0.467
12/31/1986,0.482
01/02/1987,0.49
01/05/1987,0.484
01/06/1987,0.494
01/07/1987,0.499
01/08/1987,0.506
01/09/1987,0.519
01/12/1987,0.535
01/13/1987,0.534
01/14/1987,0.55
01/15/1987,0.551
01/16/1987,0.551
01/19/1987,0.531
01/20/1987,0.54
01/21/1987,0.522
01/22/1987,0.538
01/23/1987,0.531
01/26/1987,0.521
01/27/1987,0.516
01/28/1987,0.507
01/29/1987,0.511
01/30/1987,0.521
02/02/1987,0.507
02/03/1987,0.501
02/04/1987,0.491
02/05/1987,0.506
02/06/1987,0.498
02/09/1987,0.488
02/10/1987,0.49
02/11/1987,0.475
02/12/1987,0.479
02/13/1987,0.475
02/17/1987,0.477
02/18/1987,0.468
02/19/1987,0.462
02/20/1987,0.472
02/23/1987,0.454
02/24/1987,0.445
02/25/1987,0.433
02/26/1987,0.449
02/27/1987,0.43
03/02/1987,0.427
03/03/1987,0.459
03/04/1987,0.458
03/05/1987,0.484
03/06/1987,0.494
03/09/1987,0.491
03/10/1987,0.501
03/11/1987,0.502
03/12/1987,0.503
03/13/1987,0.506
03/16/1987,0.52
03/17/1987,0.53
03/18/1987,0.499
03/19/1987,0.51
03/20/1987,0.5
03/23/1987,0.495
03/24/1987,0.499
03/25/1987,0.492
03/26/1987,0.489
03/27/1987,0.489
03/30/1987,0.488
03/31/1987,0.471
04/01/1987,0.495
04/02/1987,0.499
04/03/1987,0.494
04/06/1987,0.489
04/07/1987,0.488
04/08/1987,0.483
04/09/1987,0.478
04/10/1987,0.469
04/13/1987,0.473
04/14/1987,0.47
04/15/1987,0.481
04/16/1987,0.476
04/20/1987,0.47
04/21/1987,0.476
04/22/1987,0.479
04/23/1987,0.494
04/24/1987,0.497
04/27/1987,0.499
04/28/1987,0.496
04/29/1987,0.484
04/30/1987,0.494
05/01/1987,0.494
05/04/1987,0.496
05/05/1987,0.503
05/06/1987,0.513
05/07/1987,0.508
05/08/1987,0.515
05/11/1987,0.517
05/12/1987,0.523
05/13/1987,0.521
05/14/1987,0.524
05/15/1987,0.524
05/18/1987,0.524
05/19/1987,0.526
05/20/1987,0.522
05/21/1987,0.531
05/22/1987,0.527
05/26/1987,0.527
05/27/1987,0.52
05/28/1987,0.517
05/29/1987,0.519
06/01/1987,0.519
06/02/1987,0.514
06/03/1987,0.519
06/04/1987,0.516
06/05/1987,0.515
06/08/1987,0.522
06/09/1987,0.523
06/10/1987,0.524
06/11/1987,0.523
06/12/1987,0.522
06/15/1987,0.526
06/16/1987,0.529
06/17/1987,0.532
06/18/1987,0.529
06/19/1987,0.529
06/22/1987,0.513
06/23/1987,0.514
06/24/1987,0.512
06/25/1987,0.515
06/26/1987,0.53
06/29/1987,0.534
06/30/1987,0.539
07/01/1987,0.54
07/02/1987,0.541
07/06/1987,0.544
07/07/1987,0.535
07/08/1987,0.539
07/09/1987,0.547
07/10/1987,0.551
07/13/1987,0.548
07/14/1987,0.554
07/15/1987,0.555
07/16/1987,0.559
07/17/1987,0.563
07/20/1987,0.564
07/21/1987,0.552
07/22/1987,0.553
07/23/1987,0.547
07/24/1987,0.533
07/27/1987,0.531
07/28/1987,0.546
07/29/1987,0.545
07/30/1987,0.545
07/31/1987,0.544
08/03/1987,0.566
08/04/1987,0.558
08/05/1987,0.551
08/06/1987,0.549
08/07/1987,0.545
08/10/1987,0.536
08/11/1987,0.541
08/12/1987,0.541
08/13/1987,0.536
08/14/1987,0.53
08/17/1987,0.514
08/18/1987,0.511
08/19/1987,0.508
08/20/1987,0.499
08/21/1987,0.494
08/24/1987,0.489
08/25/1987,0.486
08/26/1987,0.51
08/27/1987,0.515
08/28/1987,0.509
08/31/1987,0.519
09/01/1987,0.52
09/02/1987,0.519
09/03/1987,0.521
09/04/1987,0.515
09/08/1987,0.507
09/09/1987,0.521
09/10/1987,0.524
09/11/1987,0.52
09/14/1987,0.525
09/15/1987,0.519
09/16/1987,0.519
09/17/1987,0.515
09/18/1987,0.517
09/21/1987,0.519
09/22/1987,0.519
09/23/1987,0.528
09/24/1987,0.531
09/25/1987,0.53
09/28/1987,0.53
09/29/1987,0.537
09/30/1987,0.54
10/01/1987,0.544
10/02/1987,0.552
10/05/1987,0.555
10/06/1987,0.547
10/07/1987,0.554
10/08/1987,0.558
10/09/1987,0.555
10/12/1987,0.555
10/13/1987,0.557
10/14/1987,0.559
10/15/1987,0.559
10/16/1987,0.575
10/19/1987,0.562
10/20/1987,0.567
10/21/1987,0.569
10/22/1987,0.576
10/23/1987,0.573
10/26/1987,0.567
10/27/1987,0.573
10/28/1987,0.575
10/29/1987,0.572
10/30/1987,0.573
11/02/1987,0.565
11/03/1987,0.562
11/04/1987,0.551
11/05/1987,0.553
11/06/1987,0.555
11/09/1987,0.552
11/10/1987,0.563
11/11/1987,0.57
11/12/1987,0.57
11/13/1987,0.563
11/16/1987,0.56
11/17/1987,0.549
11/18/1987,0.551
11/19/1987,0.551
11/20/1987,0.557
11/23/1987,0.561
11/24/1987,0.559
11/25/1987,0.564
11/27/1987,0.564
11/30/1987,0.564
12/01/1987,0.56
12/02/1987,0.568
12/03/1987,0.58
12/04/1987,0.575
12/07/1987,0.561
12/08/1987,0.549
12/09/1987,0.559
12/10/1987,0.562
12/11/1987,0.56
12/14/1987,0.543
12/15/1987,0.522
12/16/1987,0.504
12/17/1987,0.506
12/18/1987,0.499
12/21/1987,0.504
12/22/1987,0.53
12/23/1987,0.522
12/24/1987,0.522
12/28/1987,0.514
12/29/1987,0.519
12/30/1987,0.511
12/31/1987,0.513
01/04/1988,0.534
01/05/1988,0.542
01/06/1988,0.545
01/07/1988,0.547
01/08/1988,0.549
01/11/1988,0.531
01/12/1988,0.53
01/13/1988,0.526
01/14/1988,0.527
01/15/1988,0.518
01/18/1988,0.519
01/19/1988,0.519
01/20/1988,0.513
01/21/1988,0.494
01/22/1988,0.496
01/25/1988,0.504
01/26/1988,0.501
01/27/1988,0.489
01/28/1988,0.49
01/29/1988,0.48
02/01/1988,0.473
02/02/1988,0.478
02/03/1988,0.49
02/04/1988,0.502
02/05/1988,0.516
02/08/1988,0.511
02/09/1988,0.501
02/11/1988,0.492
02/12/1988,0.485
02/16/1988,0.484
02/17/1988,0.47
02/18/1988,0.462
02/19/1988,0.47
02/22/1988,0.469
02/23/1988,0.478
02/24/1988,0.468
02/25/1988,0.454
02/26/1988,0.458
02/29/1988,0.474
03/01/1988,0.463
03/02/1988,0.468
03/03/1988,0.456
03/04/1988,0.464
03/07/1988,0.462
03/08/1988,0.461
03/09/1988,0.453
03/10/1988,0.463
03/11/1988,0.469
03/14/1988,0.455
03/15/1988,0.461
03/16/1988,0.462
03/17/1988,0.463
03/18/1988,0.485
03/21/1988,0.484
03/22/1988,0.492
03/23/1988,0.501
03/24/1988,0.495
03/25/1988,0.501
03/28/1988,0.501
03/29/1988,0.497
03/30/1988,0.49
03/31/1988,0.483
04/04/1988,0.481
04/05/1988,0.473
04/06/1988,0.47
04/07/1988,0.475
04/08/1988,0.471
04/11/1988,0.495
04/12/1988,0.508
04/13/1988,0.511
04/14/1988,0.516
04/15/1988,0.519
04/18/1988,0.524
04/19/1988,0.522
04/20/1988,0.524
04/21/1988,0.538
04/22/1988,0.539
04/25/1988,0.547
04/26/1988,0.556
04/27/1988,0.546
04/28/1988,0.539
04/29/1988,0.54
05/02/1988,0.508
05/03/1988,0.513
05/04/1988,0.513
05/05/1988,0.522
05/06/1988,0.523
05/09/1988,0.52
05/10/1988,0.521
05/11/1988,0.516
05/12/1988,0.511
05/13/1988,0.513
05/16/1988,0.509
05/17/1988,0.501
05/18/1988,0.5
05/19/1988,0.505
05/20/1988,0.506
05/23/1988,0.5
05/24/1988,0.502
05/25/1988,0.502
05/26/1988,0.503
05/27/1988,0.494
05/31/1988,0.499
06/01/1988,0.491
06/02/1988,0.491
06/03/1988,0.48
06/06/1988,0.47
06/07/1988,0.471
06/08/1988,0.469
06/09/1988,0.458
06/10/1988,0.45
06/13/1988,0.445
06/14/1988,0.45
06/15/1988,0.44
06/16/1988,0.442
06/17/1988,0.439
06/20/1988,0.435
06/21/1988,0.432
06/22/1988,0.437
06/23/1988,0.438
06/24/1988,0.43
06/27/1988,0.425
06/28/1988,0.429
06/29/1988,0.415
06/30/1988,0.409
07/01/1988,0.406
07/05/1988,0.414
07/06/1988,0.424
07/07/1988,0.437
07/08/1988,0.429
07/11/1988,0.409
07/12/1988,0.399
07/13/1988,0.396
07/14/1988,0.408
07/15/1988,0.41
07/18/1988,0.431
07/19/1988,0.428
07/20/1988,0.448
07/21/1988,0.451
07/22/1988,0.449
07/25/1988,0.44
07/26/1988,0.437
07/27/1988,0.448
07/28/1988,0.439
07/29/1988,0.443
08/01/1988,0.448
08/02/1988,0.439
08/03/1988,0.426
08/04/1988,0.421
08/05/1988,0.427
08/08/1988,0.44
08/09/1988,0.434
08/10/1988,0.438
08/11/1988,0.44
08/12/1988,0.437
08/15/1988,0.439
08/16/1988,0.436
08/17/1988,0.434
08/18/1988,0.437
08/19/1988,0.44
08/22/1988,0.443
08/23/1988,0.435
08/24/1988,0.434
08/25/1988,0.421
08/26/1988,0.423
08/29/1988,0.425
08/30/1988,0.433
08/31/1988,0.428
09/01/1988,0.431
09/02/1988,0.425
