Date,New York Harbor Conventional Gasoline
6/2/1986,0.468
6/3/1986,0.436
6/4/1986,0.418
6/5/1986,0.431
6/6/1986,0.421
6/9/1986,0.409
6/10/1986,0.405
6/11/1986,0.431
6/12/1986,0.436
6/13/1986,0.445
6/16/1986,0.429
6/17/1986,0.422
6/18/1986,0.411
6/19/1986,0.415
6/20/1986,0.406
6/23/1986,0.406
6/24/1986,0.409
6/25/1986,0.419
6/26/1986,0.405
6/27/1986,0.405
6/30/1986,0.399
7/1/1986,0.391
7/2/1986,0.377
7/3/1986,0.373
7/7/1986,0.354
7/8/1986,0.35
7/9/1986,0.341
7/10/1986,0.35
7/11/1986,0.334
7/14/1986,0.319
7/15/1986,0.338
7/16/1986,0.344
7/17/1986,0.335
7/18/1986,0.344
7/21/1986,0.349
7/22/1986,0.328
7/23/1986,0.335
7/24/1986,0.33
7/25/1986,0.321
7/28/1986,0.308
7/29/1986,0.315
7/30/1986,0.329
7/31/1986,0.309
8/1/1986,0.318
8/4/1986,0.358
8/5/1986,0.401
8/6/1986,0.41
8/7/1986,0.42
8/8/1986,0.411
8/11/1986,0.413
8/12/1986,0.436
8/13/1986,0.441
8/14/1986,0.441
8/15/1986,0.446
8/18/1986,0.45
8/19/1986,0.436
8/20/1986,0.446
8/21/1986,0.446
8/22/1986,0.443
8/25/1986,0.443
8/26/1986,0.448
8/27/1986,0.44
8/28/1986,0.446
8/29/1986,0.453
9/2/1986,0.459
9/3/1986,0.454
9/4/1986,0.457
9/5/1986,0.46
9/8/1986,0.441
9/9/1986,0.429
9/10/1986,0.417
9/11/1986,0.419
9/12/1986,0.424
9/15/1986,0.413
9/16/1986,0.398
9/17/1986,0.406
9/18/1986,0.412
9/19/1986,0.412
9/22/1986,0.401
9/23/1986,0.406
9/24/1986,0.406
9/25/1986,0.397
9/26/1986,0.399
9/29/1986,0.402
9/30/1986,0.401
10/1/1986,0.416
10/2/1986,0.426
10/3/1986,0.414
10/6/1986,0.408
10/7/1986,0.423
10/8/1986,0.426
10/9/1986,0.421
10/10/1986,0.416
10/14/1986,0.406
10/15/1986,0.418
10/16/1986,0.411
10/17/1986,0.415
10/20/1986,0.422
10/21/1986,0.42
10/22/1986,0.407
10/23/1986,0.406
10/24/1986,0.412
10/27/1986,0.396
10/28/1986,0.389
10/29/1986,0.372
10/30/1986,0.395
10/31/1986,0.401
11/3/1986,0.396
11/4/1986,0.407
11/5/1986,0.406
11/6/1986,0.409
11/7/1986,0.406
11/10/1986,0.41
11/11/1986,0.413
11/12/1986,0.411
11/13/1986,0.416
11/14/1986,0.419
11/17/1986,0.417
11/18/1986,0.414
11/19/1986,0.419
11/20/1986,0.41
11/21/1986,0.412
11/24/1986,0.404
11/25/1986,0.409
11/26/1986,0.412
11/28/1986,0.412
12/1/1986,0.414
12/2/1986,0.417
12/3/1986,0.419
12/4/1986,0.419
12/5/1986,0.418
12/8/1986,0.41
12/9/1986,0.41
12/10/1986,0.416
12/11/1986,0.427
12/12/1986,0.432
12/15/1986,0.438
12/16/1986,0.43
12/17/1986,0.429
12/18/1986,0.434
12/19/1986,0.444
12/22/1986,0.457
12/23/1986,0.454
12/24/1986,0.456
12/29/1986,0.464
12/30/1986,0.457
12/31/1986,0.476
1/2/1987,0.484
1/5/1987,0.475
1/6/1987,0.484
1/7/1987,0.483
1/8/1987,0.493
1/9/1987,0.506
1/12/1987,0.515
1/13/1987,0.501
1/14/1987,0.505
1/15/1987,0.501
1/16/1987,0.492
1/19/1987,0.484
1/20/1987,0.495
1/21/1987,0.486
1/22/1987,0.491
1/23/1987,0.481
1/26/1987,0.474
1/27/1987,0.474
1/28/1987,0.471
1/29/1987,0.482
1/30/1987,0.488
2/2/1987,0.49
2/3/1987,0.488
2/4/1987,0.495
2/5/1987,0.506
2/6/1987,0.501
2/9/1987,0.498
2/10/1987,0.496
2/11/1987,0.48
2/12/1987,0.481
2/13/1987,0.473
2/17/1987,0.475
2/18/1987,0.466
2/19/1987,0.464
2/20/1987,0.473
2/23/1987,0.455
2/24/1987,0.445
2/25/1987,0.438
2/26/1987,0.444
2/27/1987,0.445
3/2/1987,0.457
3/3/1987,0.486
3/4/1987,0.488
3/5/1987,0.504
3/6/1987,0.509
3/9/1987,0.503
3/10/1987,0.506
3/11/1987,0.513
3/12/1987,0.512
3/13/1987,0.515
3/16/1987,0.518
3/17/1987,0.529
3/18/1987,0.511
3/19/1987,0.512
3/20/1987,0.51
3/23/1987,0.517
3/24/1987,0.519
3/25/1987,0.523
3/26/1987,0.521
3/27/1987,0.516
3/30/1987,0.511
3/31/1987,0.518
4/1/1987,0.521
4/2/1987,0.519
4/3/1987,0.516
4/6/1987,0.516
4/7/1987,0.514
4/8/1987,0.502
4/9/1987,0.499
4/10/1987,0.491
4/13/1987,0.493
4/14/1987,0.488
4/15/1987,0.494
4/16/1987,0.492
4/20/1987,0.492
4/21/1987,0.495
4/22/1987,0.493
4/23/1987,0.5
4/24/1987,0.511
4/27/1987,0.517
4/28/1987,0.512
4/29/1987,0.504
4/30/1987,0.516
5/1/1987,0.517
5/4/1987,0.516
5/5/1987,0.524
5/6/1987,0.531
5/7/1987,0.528
5/8/1987,0.53
5/11/1987,0.538
5/12/1987,0.541
5/13/1987,0.543
5/14/1987,0.547
5/15/1987,0.557
5/18/1987,0.554
5/19/1987,0.554
5/20/1987,0.543
5/21/1987,0.55
5/22/1987,0.552
5/26/1987,0.551
5/27/1987,0.551
5/28/1987,0.551
5/29/1987,0.552
6/1/1987,0.548
6/2/1987,0.552
6/3/1987,0.559
6/4/1987,0.557
6/5/1987,0.559
6/8/1987,0.566
6/9/1987,0.568
6/10/1987,0.569
6/11/1987,0.562
6/12/1987,0.561
6/15/1987,0.563
6/16/1987,0.563
6/17/1987,0.559
6/18/1987,0.561
6/19/1987,0.558
6/22/1987,0.545
6/23/1987,0.544
6/24/1987,0.547
6/25/1987,0.545
6/26/1987,0.562
6/29/1987,0.559
6/30/1987,0.555
7/1/1987,0.553
7/2/1987,0.556
7/6/1987,0.559
7/7/1987,0.553
7/8/1987,0.554
7/9/1987,0.557
7/10/1987,0.558
7/13/1987,0.551
7/14/1987,0.558
7/15/1987,0.567
7/16/1987,0.565
7/17/1987,0.571
7/20/1987,0.571
